"","ts_code","symbol","name","area","industry","market","list_date"
"1","000001.SZ","000001","平安银行","深圳","银行","主板","19910403"
"2","000002.SZ","000002","万科A","深圳","全国地产","主板","19910129"
"3","000004.SZ","000004","国华网安","深圳","软件服务","主板","19910114"
"4","000005.SZ","000005","ST星源","深圳","环境保护","主板","19901210"
"5","000006.SZ","000006","深振业A","深圳","区域地产","主板","19920427"
"6","000007.SZ","000007","*ST全新","深圳","酒店餐饮","主板","19920413"
"7","000008.SZ","000008","神州高铁","北京","运输设备","主板","19920507"
"8","000009.SZ","000009","中国宝安","深圳","电气设备","主板","19910625"
"9","000010.SZ","000010","美丽生态","深圳","建筑工程","主板","19951027"
"10","000011.SZ","000011","深物业A","深圳","区域地产","主板","19920330"
"11","000012.SZ","000012","南玻A","深圳","玻璃","主板","19920228"
"12","000014.SZ","000014","沙河股份","深圳","全国地产","主板","19920602"
"13","000016.SZ","000016","深康佳A","深圳","家用电器","主板","19920327"
"14","000017.SZ","000017","深中华A","深圳","文教休闲","主板","19920331"
"15","000019.SZ","000019","深粮控股","深圳","其他商业","主板","19921012"
"16","000020.SZ","000020","深华发A","深圳","元器件","主板","19920428"
"17","000021.SZ","000021","深科技","深圳","IT设备","主板","19940202"
"18","000023.SZ","000023","深天地A","深圳","水泥","主板","19930429"
"19","000025.SZ","000025","特力A","深圳","汽车服务","主板","19930621"
"20","000026.SZ","000026","飞亚达","深圳","其他商业","主板","19930603"
"21","000027.SZ","000027","深圳能源","深圳","火力发电","主板","19930903"
"22","000028.SZ","000028","国药一致","深圳","医药商业","主板","19930809"
"23","000029.SZ","000029","深深房A","深圳","区域地产","主板","19930915"
"24","000030.SZ","000030","富奥股份","吉林","汽车配件","主板","19930929"
"25","000031.SZ","000031","大悦城","深圳","全国地产","主板","19931008"
"26","000032.SZ","000032","深桑达A","深圳","元器件","主板","19931028"
"27","000034.SZ","000034","神州数码","深圳","综合类","主板","19940509"
"28","000035.SZ","000035","中国天楹","江苏","环境保护","主板","19940408"
"29","000036.SZ","000036","华联控股","深圳","全国地产","主板","19940617"
"30","000037.SZ","000037","深南电A","深圳","火力发电","主板","19940701"
"31","000038.SZ","000038","深大通","深圳","综合类","主板","19940808"
"32","000039.SZ","000039","中集集团","深圳","轻工机械","主板","19940408"
"33","000040.SZ","000040","东旭蓝天","深圳","新型电力","主板","19940808"
"34","000042.SZ","000042","中洲控股","深圳","全国地产","主板","19940921"
"35","000045.SZ","000045","深纺织A","深圳","元器件","主板","19940815"
"36","000046.SZ","000046","泛海控股","北京","多元金融","主板","19940912"
"37","000048.SZ","000048","京基智农","深圳","饲料","主板","19941101"
"38","000049.SZ","000049","德赛电池","深圳","电气设备","主板","19950320"
"39","000050.SZ","000050","深天马A","深圳","元器件","主板","19950315"
"40","000055.SZ","000055","方大集团","深圳","其他建材","主板","19960415"
"41","000056.SZ","000056","皇庭国际","深圳","房产服务","主板","19960708"
"42","000058.SZ","000058","深赛格","深圳","商品城","主板","19961226"
"43","000059.SZ","000059","华锦股份","辽宁","石油加工","主板","19970130"
"44","000060.SZ","000060","中金岭南","深圳","铅锌","主板","19970123"
"45","000061.SZ","000061","农产品","深圳","农业综合","主板","19970110"
"46","000062.SZ","000062","深圳华强","深圳","批发业","主板","19970130"
"47","000063.SZ","000063","中兴通讯","深圳","通信设备","主板","19971118"
"48","000065.SZ","000065","北方国际","北京","建筑工程","主板","19980605"
"49","000066.SZ","000066","中国长城","深圳","IT设备","主板","19970626"
"50","000068.SZ","000068","华控赛格","深圳","环境保护","主板","19970611"
"51","000069.SZ","000069","华侨城A","深圳","旅游景点","主板","19970910"
